ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
51,HFD+TXN,32.5,30,17.8,91.17,3/19/19,6
52,HFD+TXN,29,18.4,15.2,77.85,3/19/19,6
53,HFD+TXN,34.2,29.1,17.6,90.15,3/19/19,6
54,HFD+TXN,24.8,13.2,14.8,75.81,3/19/19,6
55,HFD+TXN,29.6,23.8,15.4,78.88,3/19/19,6
56,HFD+TXN,29.7,8,16.7,85.54,3/19/19,6
57,HFD+TXN,34.8,29.9,19.9,101.93,3/19/19,6
58,HFD+TXN,30.1,19.9,19,97.32,3/19/19,6
59,HFD+TXN,28.5,9.2,14.4,73.76,3/19/19,6
60,HFD+TXN,29.8,14.2,22.5,115.24,3/19/19,6
1,LFD,33.4,23.7,25,88.65,3/26/19,7
2,LFD,27.7,-1.1,15.9,56.38,3/26/19,7
3,LFD,29.6,28.1,20.5,72.69,3/26/19,7
4,LFD,30.6,18.1,28,99.29,3/26/19,7
5,LFD,27.4,6.6,21.1,74.82,3/26/19,7
6,LFD,31.3,19,22.5,79.78,3/26/19,7
7,LFD,30,17.2,21.8,77.3,3/26/19,7
8,LFD,32.9,26.5,27.5,97.51,3/26/19,7
9,LFD,31.9,21.8,23.7,84.04,3/26/19,7
10,LFD,26.7,12.7,17.1,60.64,3/26/19,7
11,LFD,30.6,19.1,21.9,77.66,3/26/19,7
12,LFD,32.5,25.5,22.7,80.49,3/26/19,7
13,HFD,34.5,42,19.7,100.9,3/26/19,7
14,HFD,40.3,69.3,21.5,110.12,3/26/19,7
15,HFD,41.6,63.8,19.9,101.93,3/26/19,7
16,HFD,38.8,41.1,17.8,91.17,3/26/19,7
17,HFD,32,30.6,15.8,80.93,3/26/19,7
18,HFD,38.1,50,21.4,109.61,3/26/19,7
19,HFD,34.8,33.3,19.4,99.37,3/26/19,7
20,HFD,40.2,53.4,20.9,107.05,3/26/19,7
21,HFD,41.5,59.6,17.5,89.63,3/26/19,7
22,HFD,38.6,50.8,19.4,99.37,3/26/19,7
23,HFD,33.5,38.4,18.5,94.76,3/26/19,7
24,HFD,38.2,49.8,17.4,89.12,3/26/19,7
