Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER
Cycle1:02:00-03:00,LFD,dark,5,0.4825765,1.632714,1.454264,0.1332081,0.8906356
Cycle1:03:00-04:00,LFD,dark,5,0.4734536,1.605646,1.413242,0.1008802,0.8801187
Cycle1:04:00-05:00,LFD,dark,5,0.496022,1.667428,1.533183,0.09184218,0.9190274
Cycle1:05:00-06:00,LFD,dark,5,0.5326018,1.778436,1.68886,0.1097757,0.9485695
Cycle2:06:00-07:00,LFD,light,5,0.4758957,1.595208,1.487233,0.121922,0.9309989
Cycle2:07:00-08:00,LFD,light,5,0.4470603,1.490221,1.426801,0.1220948,0.9563883
Cycle2:08:00-09:00,LFD,light,5,0.3850846,1.294049,1.191888,0.08238431,0.9215137
Cycle2:09:00-10:00,LFD,light,5,0.4247494,1.425376,1.321653,0.08961219,0.9274582
Cycle2:10:00-11:00,LFD,light,5,0.4001327,1.353836,1.205614,0.0740965,0.8902787
Cycle2:11:00-12:00,LFD,light,5,0.4884627,1.654878,1.463989,0.06179854,0.8848269
Cycle2:12:00-13:00,LFD,light,5,0.4155429,1.418091,1.208875,0.1022696,0.8464227
Cycle2:13:00-14:00,LFD,light,5,0.3911665,1.325228,1.172439,0.07709868,0.8844238
Cycle2:14:00-15:00,LFD,light,5,0.3974442,1.358916,1.147,0.06740617,0.8437331
Cycle2:15:00-16:00,LFD,light,5,0.393336,1.330158,1.187565,0.05827368,0.8948222
Cycle2:16:00-17:00,LFD,light,5,0.3742007,1.271487,1.10827,0.07755976,0.870618
Cycle2:17:00-18:00,LFD,light,5,0.4336309,1.466184,1.310083,0.06063142,0.8939871
Cycle2:18:00-19:00,LFD,dark,5,0.4711842,1.582213,1.462541,0.08638386,0.9218481
Cycle2:19:00-20:00,LFD,dark,5,0.6055061,2.023021,1.915953,0.124623,0.9461684
Cycle2:20:00-21:00,LFD,dark,5,0.5862448,1.950127,1.885438,0.1285377,0.9663737
Cycle2:21:00-22:00,LFD,dark,5,0.5624253,1.879829,1.776989,0.1773004,0.9433135
Cycle2:22:00-23:00,LFD,dark,5,0.5445353,1.817065,1.731047,0.1631762,0.9515464
Cycle2:23:00-00:00,LFD,dark,5,0.5278724,1.76009,1.682964,0.1602145,0.9553962
Cycle2:00:00-01:00,LFD,dark,5,0.4534106,1.518488,1.421774,0.119042,0.9358805
Cycle2:01:00-02:00,LFD,dark,5,0.5378048,1.78873,1.730585,0.1292273,0.9651756
Cycle2:02:00-03:00,LFD,dark,5,0.4673077,1.569951,1.447815,0.1219085,0.9213198
Cycle2:03:00-04:00,LFD,dark,5,0.4295189,1.457416,1.279359,0.1265101,0.8763977
Cycle2:04:00-05:00,LFD,dark,5,0.4527461,1.544643,1.318562,0.0988938,0.8510112
Cycle2:05:00-06:00,LFD,dark,5,0.520748,1.760433,1.574383,0.1114512,0.8898671
Cycle1:06:00-07:00,LFD,light,6,0.6412564,2.23092,1.71388,0.1060403,0.7671655
Cycle1:07:00-08:00,LFD,light,6,0.6707531,2.332686,1.795752,0.09450805,0.7709455
Cycle1:08:00-09:00,LFD,light,6,0.4777387,1.667329,1.258019,0.07211828,0.7522407
Cycle1:09:00-10:00,LFD,light,6,0.5025233,1.744491,1.356553,0.06860554,0.7755741
Cycle1:10:00-11:00,LFD,light,6,0.5267293,1.83187,1.409965,0.09008215,0.7675677
Cycle1:11:00-12:00,LFD,light,6,0.5003245,1.74314,1.328235,0.07428688,0.76098
Cycle1:12:00-13:00,LFD,light,6,0.462939,1.617829,1.21138,0.0800529,0.7490261
Cycle1:13:00-14:00,LFD,light,6,0.4992339,1.734903,1.34115,0.0668255,0.7703803
Cycle1:14:00-15:00,LFD,light,6,0.4702484,1.633277,1.266482,0.08043336,0.776047
Cycle1:15:00-16:00,LFD,light,6,0.5000224,1.731575,1.364891,0.07336369,0.7875825
Cycle1:16:00-17:00,LFD,light,6,0.5609932,1.935267,1.557865,0.07227609,0.8012451
Cycle1:17:00-18:00,LFD,light,6,0.5136545,1.783233,1.386246,0.09913245,0.7758597
Cycle1:18:00-19:00,LFD,dark,6,0.5457598,1.878863,1.529293,0.102805,0.8135117
Cycle1:19:00-20:00,LFD,dark,6,0.6916789,2.383143,1.931298,0.09832751,0.8104395
Cycle1:20:00-21:00,LFD,dark,6,0.7013996,2.423503,1.933968,0.1147019,0.7986919
Cycle1:21:00-22:00,LFD,dark,6,0.6217598,2.154481,1.692454,0.1417308,0.7855
Cycle1:22:00-23:00,LFD,dark,6,0.4869664,1.689093,1.319522,0.1162818,0.7805185
Cycle1:23:00-00:00,LFD,dark,6,0.5430817,1.878141,1.491508,0.09538677,0.7935101
Cycle1:00:00-01:00,LFD,dark,6,0.631477,2.173664,1.77053,0.1008572,0.813722
Cycle1:01:00-02:00,LFD,dark,6,0.5806046,2.012511,1.578154,0.1132893,0.7839622
Cycle1:02:00-03:00,LFD,dark,6,0.4743473,1.643975,1.290128,0.1038053,0.7832554
Cycle1:03:00-04:00,LFD,dark,6,0.5211865,1.800107,1.43962,0.09236213,0.7996253
Cycle1:04:00-05:00,LFD,dark,6,0.5746158,1.984141,1.588996,0.1022356,0.7996862
Cycle1:05:00-06:00,LFD,dark,6,0.6139963,2.123125,1.687195,0.1151236,0.7930843
Cycle2:06:00-07:00,LFD,light,6,0.7120432,2.470297,1.927619,0.1307126,0.7806826
Cycle2:07:00-08:00,LFD,light,6,0.55322,1.936706,1.435601,0.1434582,0.7375622
Cycle2:08:00-09:00,LFD,light,6,0.5213866,1.825313,1.352819,0.1289229,0.7363002
Cycle2:09:00-10:00,LFD,light,6,0.5032131,1.758098,1.318462,0.08728819,0.7492313
Cycle2:10:00-11:00,LFD,light,6,0.4949969,1.734375,1.279183,0.1183893,0.7374252
Cycle2:11:00-12:00,LFD,light,6,0.5656621,1.962869,1.529868,0.103507,0.7731255
Cycle2:12:00-13:00,LFD,light,6,0.4531734,1.592254,1.15535,0.1007954,0.7249323
Cycle2:13:00-14:00,LFD,light,6,0.5600269,1.934873,1.54471,0.1063031,0.7968242
Cycle2:14:00-15:00,LFD,light,6,0.4912587,1.711361,1.304857,0.09871827,0.761155
Cycle2:15:00-16:00,LFD,light,6,0.515624,1.776407,1.440248,0.1125026,0.8041594
